mean_CRS,mean_R_final,pct_reduction_vs_classical,pct_diff_vs_ufmb,mean_ldf_active,disc_correction_pct,ampl_correction_pct,n_neutral,n_disc,n_ampl
15.445875000000001,15.862,52.363505315634576,-14.536637931034477,1.0322548387096773,-14.068319312319643,27.174325335477167,49,18,13
18.53225,18.724875000000004,52.07551515965869,0.8883351293103754,1.0039642857142856,-14.295674798777448,20.012727542551314,52,16,12
16.852999999999998,17.133875,52.59945500318146,-7.683863146551719,1.0468285714285712,-10.565474303854774,25.010695933661214,52,16,12
17.58175,18.190375,53.11441817906495,-1.9915140086206855,1.0770366666666666,-11.620983844094326,20.627634042707413,50,12,18
17.714499999999997,17.940375,53.461609548731026,-3.338496767241375,0.9976178571428571,-15.026870840262566,19.452768137209045,52,16,12
21.774875,21.987875,57.572329622884986,18.469154094827587,1.0541130434782608,-14.164521926765309,23.36756490886839,57,11,12
17.696499999999997,17.973750000000003,55.020504944021965,-3.1586745689654965,1.0119107142857142,-9.697258789961229,28.307094399443624,52,20,8
16.807375,17.460124999999998,55.98408026671541,-5.926050646551729,1.0491515151515152,-12.363781955049848,25.617244422471458,47,18,15
19.08725,19.281625,57.105475376101886,3.8880657327586188,0.9928354838709675,-8.993811686372345,23.03873670915756,49,23,8
17.245,17.38475,60.43480239875283,-6.332165948275853,1.0027781249999999,-9.91344830419622,22.657937210833957,48,22,10
20.719,21.15975,54.61496801454226,14.007273706896553,1.0888939393939394,-13.76079931578261,30.208517171378254,47,16,17
17.1835,17.531875,56.16538110537436,-5.539466594827583,1.005130769230769,-12.639005702355163,21.572578653410268,54,16,10
24.2725,24.829375000000002,56.24972468173208,33.77896012931036,1.0374657142857142,-10.590481978599962,17.275930115335406,45,17,18
16.763749999999998,17.360625,53.119620325801506,-6.462149784482758,1.0650714285714284,-10.341368406510151,23.33953117140786,52,14,14
19.987625,20.532874999999997,52.327012264846395,10.629714439655165,1.0674099999999997,-9.562434558850372,25.40366878744378,50,16,14
14.348749999999999,14.5255,53.79599367003046,-21.73760775862069,1.0346441176470589,-11.11439328140737,27.04267543082788,46,21,13
23.344749999999998,23.62125,58.762324166495716,27.26966594827587,1.02315,-12.490174444343248,19.848746545818397,56,13,11
21.648,21.892249999999997,54.3886514627102,17.953933189655167,1.0150714285714284,-12.010051622462761,22.433514094608643,52,17,11
16.808500000000002,17.098875,56.27613056652986,-7.8724407327586166,1.0118466666666666,-11.415261193155882,26.455154843762006,50,20,10
18.01925,18.556,59.246020633953236,-0.02155172413791909,1.0809,-8.695821044092456,26.311301510507118,55,13,12
18.711125,18.89475,56.60307480298006,1.8036099137931016,1.02096,-9.181448330077773,21.20562978874009,45,22,13
17.218,17.64875,58.91483244677755,-4.909752155172409,1.0392117647058823,-12.809524738430108,18.773253312058777,63,8,9
22.003125,22.058249999999997,50.635429050982594,18.848329741379306,1.0375482758620689,-12.676626759854072,27.05973231142062,51,17,12
21.083499999999997,21.288875,54.876375082134,14.70299030172415,1.0333285714285714,-14.918426131350884,21.60908282409223,52,14,14
18.54975,19.292375,56.97087974127717,3.9459859913793167,1.0691370370370368,-10.434626043202908,23.0207141476823,53,13,14
18.714375,18.887875,51.90590167482541,1.7665678879310471,1.0343515151515152,-9.758587831600689,23.772960274543202,47,20,13
17.777625,18.393375,48.97267043267482,-0.8977640086206886,1.062674358974359,-10.33819065078877,27.714184516656353,41,22,17
17.481625,17.866000000000003,60.64779378968177,-3.7392241379310103,1.0377866666666666,-10.070933923718695,27.703612031440045,50,19,11
17.749874999999996,17.846375000000002,52.85923245317158,-3.844962284482742,0.9990434782608695,-9.588595912177352,21.58510081770864,57,16,7
21.398000000000003,22.28775,56.08054683170146,20.084859913793107,1.1090343749999998,-8.082666816198138,25.714763766200495,48,14,18
17.752,18.635749999999998,52.06299597432831,0.4081357758620653,1.0386000000000004,-10.20909033335343,19.527458147826035,42,20,18
18.8945,19.425,55.49955614100399,4.660560344827598,1.090383333333333,-9.628519295015126,27.69474364965495,50,15,15
18.790125,19.055874999999997,57.6973238764388,2.6717403017241277,1.0258096774193548,-10.42343254777782,23.15879634215821,49,19,12
17.944375,18.15625,49.98450466581728,-2.175377155172407,1.031623076923077,-12.748866639908606,24.84114699293282,54,15,11
18.6705,18.798750000000002,53.56771259466919,1.2863685344827755,0.9825810810810812,-10.851897187352733,22.899238082361187,43,27,10
18.77375,19.366374999999998,60.489485522510634,4.34469288793103,1.102573076923077,-11.47708659311496,28.912356453908725,54,12,14
18.0885,18.244999999999997,61.5720799941026,-1.697198275862076,0.9940230769230768,-9.546319237704983,29.24329353480525,54,20,6
16.251125,16.01275,55.56395776387173,-13.7244073275862,0.9714321428571427,-12.123469376701664,20.302088369363467,52,20,8
15.368375,15.903,61.15297709923664,-14.31573275862068,1.0537645161290323,-10.030772284604398,24.137132095079362,49,17,14
20.6165,21.413999999999998,53.4901652028724,15.37715517241379,1.0666625,-12.681305447690203,21.716946968229216,48,14,18
14.74475,15.258625,59.29771562517714,-17.78758081896551,1.049776,-9.78055736237412,27.13577077497688,55,15,10
15.773625,16.125625,58.655423941748076,-13.11624461206896,1.0348166666666665,-10.73266606828633,24.83863765831441,50,18,12
19.30525,19.942,54.0632603406326,7.446120689655181,1.0475103448275862,-10.68079675273346,21.271813184145394,51,15,14
18.72975,19.484125,50.79238302090502,4.979121767241381,1.1234592592592594,-8.028004213178527,24.282379689018185,53,10,17
17.517374999999998,17.688,62.396660173741125,-4.698275862068965,0.9885068965517241,-10.26338596202243,22.77591105803255,51,21,8
18.975375,19.66375,52.31397417903707,5.946928879310354,1.1016939393939393,-10.333123064810385,25.263747441640547,47,14,19
16.8265,16.92825,50.7059632877251,-8.791756465517244,1.0600814814814814,-13.346252408462806,26.86386217527566,53,14,13
19.378875,19.896875,55.543545959050064,7.202990301724153,1.0340666666666667,-12.728126382889666,27.587057430342018,50,18,12
18.348,17.83775,57.12620402473245,-3.891433189655167,0.9383451612903225,-14.237234834354547,21.64130023482079,49,24,7
22.133625000000002,22.639625,57.33856246098765,21.980738146551726,1.0482600000000002,-10.65169620967632,25.455918000016876,45,20,15
17.465,18.666625,56.21195416319684,0.5744881465517301,1.1462483870967743,-10.88515033232325,26.76879597211469,49,10,21
16.9905,17.116875,57.25216338049274,-7.775457974137923,1.0098,-13.338861174175614,21.44466123311843,46,20,14
